I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5263,-6.5263,-6.5263,,,,,,,,,
-6.5004,-6.5004,-6.5004,,,,,,,,,
-6.4741,-6.4741,-6.4741,,,,,,,,,
-6.4737,-6.4737,-6.4737,,,,,,,,,
-6.4478,-6.4478,-6.4478,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4474,-6.4474,-6.4474,,,,,,,,,
-6.4216,-6.4216,-6.4216,,,,,,,,,
-6.4211,-6.4211,-6.4211,,,,,,,,,
-6.3954,-6.3954,-6.3954,,,,,,,,,
-6.3691,-6.3691,-6.3691,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3684,-6.3684,-6.3684,,,,,,,,,
-6.3172,-6.3172,-6.3172,,,,,,,,,
-6.2902,-6.2902,-6.2902,,,,,,,,,
-6.2639,-6.2639,-6.2639,,,,,,,,,
-6.2376,-6.2376,-6.2376,,,,,,,,,
-6.2113,-6.2113,-6.2113,,,,,,,,,
-6.185,-6.185,-6.185,,,,,,,,,
-6.1332,-6.1332,-6.1332,,,,,,,,,
-6.1061,-6.1061,-6.1061,,,,,,,,,
-6.0798,-6.0798,-6.0798,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0536,-6.0536,-6.0536,,,,,,,,,
-6.0526,-6.0526,-6.0526,,,,,,,,,
-6.0273,-6.0273,-6.0273,,,,,,,,,
-6.0263,-6.0263,-6.0263,,,,,,,,,
-6.001,-6.001,-6.001,,,,,,,,,
-6.0,-6.0,-6.0,,,,,,,,,
-6.0,-6.0,-6.0,,,,,,,,,
-5.9747,-5.9747,-5.9747,,,,,,,,,
-5.9737,-5.9737,-5.9737,,,,,,,,,
-5.9737,-5.9737,-5.9737,,,,,,,,,
-5.9485,-5.9485,-5.9485,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.872,-5.872,,,,,,,,,
-5.9474,-5.9438,-5.9438,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9474,-5.9474,-5.9474,,,,,,,,,
-5.9724,-5.9724,-5.9724,,,,,,,,,
-5.9737,-5.9737,-5.9737,,,,,,,,,
-5.9987,-5.9987,-5.9987,,,,,,,,,
-6.0,-6.0,-6.0,,,,,,,,,
-6.025,-6.025,-6.025,,,,,,,,,
-6.0263,-6.0263,-6.0263,,,,,,,,,
-6.0513,-6.0513,-6.0513,,,,,,,,,
-6.0526,-6.0526,-6.0526,,,,,,,,,
-6.0775,-6.0775,-6.0775,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
-6.0789,-6.0789,-6.0789,,,,,,,,,
